category,dish_name,price,veg_nonveg,image_filename,image_prompt
BreakFast,Idly,12.00,Veg,images/dishes/idly.jpg,"Idly, served on a dark slate plate with small brass bowls of chutney and sambar in the background, professional restaurant food photography, warm cinematic lighting, dark charcoal-black moody backdrop, shallow depth of field, subtle gold and deep red accent props in frame, steam or garnish detail for freshness, rustic dark ceramic or brass serveware, 45-degree angle, high-end editorial food styling, consistent single-shoot look"
BreakFast,Uzhunu Vada,12.00,Veg,images/dishes/uzhunu-vada.jpg,"Uzhunu Vada, served on a dark slate plate with small brass bowls of chutney and sambar in the background, professional restaurant food photography, warm cinematic lighting, dark charcoal-black moody backdrop, shallow depth of field, subtle gold and deep red accent props in frame, steam or garnish detail for freshness, rustic dark ceramic or brass serveware, 45-degree angle, high-end editorial food styling, consistent single-shoot look"
BreakFast,Masala Dosa,80.00,Veg,images/dishes/masala-dosa.jpg,"Masala Dosa, served on a dark slate plate with small brass bowls of chutney and sambar in the background, professional restaurant food photography, warm cinematic lighting, dark charcoal-black moody backdrop, shallow depth of field, subtle gold and deep red accent props in frame, steam or garnish detail for freshness, rustic dark ceramic or brass serveware, 45-degree angle, high-end editorial food styling, consistent single-shoot look"
BreakFast,Dosa,10.00,Veg,images/dishes/dosa.jpg,"Dosa, served on a dark slate plate with small brass bowls of chutney and sambar in the background, professional restaurant food photography, warm cinematic lighting, dark charcoal-black moody backdrop, shallow depth of field, subtle gold and deep red accent props in frame, steam or garnish detail for freshness, rustic dark ceramic or brass serveware, 45-degree angle, high-end editorial food styling, consistent single-shoot look"
BreakFast,Appam,12.00,Veg,images/dishes/appam.jpg,"Appam, served on a dark slate plate with small brass bowls of chutney and sambar in the background, professional restaurant food photography, warm cinematic lighting, dark charcoal-black moody backdrop, shallow depth of field, subtle gold and deep red accent props in frame, steam or garnish detail for freshness, rustic dark ceramic or brass serveware, 45-degree angle, high-end editorial food styling, consistent single-shoot look"
BreakFast,Porotta,12.00,Veg,images/dishes/porotta.jpg,"Porotta, served on a dark slate plate with small brass bowls of chutney and sambar in the background, professional restaurant food photography, warm cinematic lighting, dark charcoal-black moody backdrop, shallow depth of field, subtle gold and deep red accent props in frame, steam or garnish detail for freshness, rustic dark ceramic or brass serveware, 45-degree angle, high-end editorial food styling, consistent single-shoot look"
BreakFast,Idiyappam,12.00,Veg,images/dishes/idiyappam.jpg,"Idiyappam, served on a dark slate plate with small brass bowls of chutney and sambar in the background, professional restaurant food photography, warm cinematic lighting, dark charcoal-black moody backdrop, shallow depth of field, subtle gold and deep red accent props in frame, steam or garnish detail for freshness, rustic dark ceramic or brass serveware, 45-degree angle, high-end editorial food styling, consistent single-shoot look"
BreakFast,Chappathi,10.00,Veg,images/dishes/chappathi.jpg,"Chappathi, served on a dark slate plate with small brass bowls of chutney and sambar in the background, professional restaurant food photography, warm cinematic lighting, dark charcoal-black moody backdrop, shallow depth of field, subtle gold and deep red accent props in frame, steam or garnish detail for freshness, rustic dark ceramic or brass serveware, 45-degree angle, high-end editorial food styling, consistent single-shoot look"
BreakFast,Aripathiri,08.00,Veg,images/dishes/aripathiri.jpg,"Aripathiri, served on a dark slate plate with small brass bowls of chutney and sambar in the background, professional restaurant food photography, warm cinematic lighting, dark charcoal-black moody backdrop, shallow depth of field, subtle gold and deep red accent props in frame, steam or garnish detail for freshness, rustic dark ceramic or brass serveware, 45-degree angle, high-end editorial food styling, consistent single-shoot look"
BreakFast,Puttu,40.00,Veg,images/dishes/puttu.jpg,"Puttu, served on a dark slate plate with small brass bowls of chutney and sambar in the background, professional restaurant food photography, warm cinematic lighting, dark charcoal-black moody backdrop, shallow depth of field, subtle gold and deep red accent props in frame, steam or garnish detail for freshness, rustic dark ceramic or brass serveware, 45-degree angle, high-end editorial food styling, consistent single-shoot look"
